"Story","Title","Result","Date","Stability","Duration (s)"
"Tags test","Incorrect resources","ERROR","2023-01-10T22:59:03.087Z[Europe/London]","0.0","11.84"
"Store CRUD test","This will create new  store","ERROR","2023-01-10T22:59:03.154Z[Europe/London]","0.0","11.95"
"Product CRUD test","This will create new product","ERROR","2023-01-10T22:59:03.165Z[Europe/London]","0.0","12.15"
"Tags test","Provide a 405 status code when incorrect HTTP method is used to access resource","ERROR","2023-01-10T22:59:15.024Z[Europe/London]","0.0","4.12"
"Store CRUD test","Getting the store information with Name:","ERROR","2023-01-10T22:59:15.157Z[Europe/London]","0.0","4.11"
"Product CRUD test","Getting the product information with id:","ERROR","2023-01-10T22:59:15.390Z[Europe/London]","0.0","4.12"
"Product data driven test","Creating multiple products with Data driven","ERROR","2023-01-10T22:59:16.213Z[Europe/London]","0.0","121.55"
"Tags test","Provide a 405 status code when incorrect HTTP method is used to access resource","ERROR","2023-01-10T22:59:19.141Z[Europe/London]","0.0","4.09"
"Store CRUD test","Updating store information and verify the updated information","ERROR","2023-01-10T22:59:19.269Z[Europe/London]","0.0","4.11"
"Product CRUD test","Updating product information and verify the updated information","ERROR","2023-01-10T22:59:19.515Z[Europe/London]","0.0","4.09"
"Tags test","This test will verify if a status code of 200 is returned for GET request","ERROR","2023-01-10T22:59:23.235Z[Europe/London]","0.0","4.11"
"Store CRUD test","Deleting store with id and verify that user is deleted","ERROR","2023-01-10T22:59:23.376Z[Europe/London]","0.0","4.1"
"Product CRUD test","Deleting product with id and verify that user is deleted","ERROR","2023-01-10T22:59:23.612Z[Europe/London]","0.0","4.11"
